game_id,game_name_abbr,index,type,inversed
6d16b4e2-cb8a-4fe7-be67-17aca93ababf,NsymNCmp,pc,exclude,
6d16b4e2-cb8a-4fe7-be67-17aca93ababf,NsymNCmp,w,exclude,
9007f653-4750-4b6a-bf5d-e5084fb35417,SymNCmp,dist_eff,exclude,
9007f653-4750-4b6a-bf5d-e5084fb35417,SymNCmp,mrt,exclude,
9007f653-4750-4b6a-bf5d-e5084fb35417,SymNCmp,pc,exclude,
6bfc5052-76d1-4234-9f82-d1d2dd3ade11,WxPred,nc,exclude,
6d8e5eb1-fb1f-428f-8518-e2c0ba0b5d4e,Consent,nc,exclude,
f3d638a3-0c97-4103-8f8d-e537c7a73f0d,Strength,nc,outcome,
9e14dbf6-8689-4e45-88e6-472f8f3f2663,Conners,nc_score,outcome,
6b9793d4-99c7-47cc-ae51-426e19173add,Info,nc_score,outcome,
87efaa42-cec1-44b1-8547-f9d7bcfda102,EFEval,nc_score,outcome,
90ffedbe-8ec0-4738-9179-cf0afc1e5711,ADHD,nc_score,outcome,
